,datetime,trading_date,high,total_turnover,volume,open_interest,open,close,low,sid,de_listed_date,maturity_date,option_type,strike_price,listed_date
0,2015-06-08 09:31:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
1,2015-06-08 09:32:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
2,2015-06-08 09:33:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
3,2015-06-08 09:34:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
4,2015-06-08 09:35:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
5,2015-06-08 09:36:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
6,2015-06-08 09:37:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
7,2015-06-08 09:38:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
8,2015-06-08 09:39:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
9,2015-06-08 09:40:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
10,2015-06-08 09:41:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
11,2015-06-08 09:42:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
12,2015-06-08 09:43:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
13,2015-06-08 09:44:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
14,2015-06-08 09:45:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
15,2015-06-08 09:46:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
16,2015-06-08 09:47:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
17,2015-06-08 09:48:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
18,2015-06-08 09:49:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
19,2015-06-08 09:50:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
20,2015-06-08 09:51:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
21,2015-06-08 09:52:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
22,2015-06-08 09:53:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
23,2015-06-08 09:54:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
24,2015-06-08 09:55:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
25,2015-06-08 09:56:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
26,2015-06-08 09:57:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
27,2015-06-08 09:58:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
28,2015-06-08 09:59:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
29,2015-06-08 10:00:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
30,2015-06-08 10:01:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
31,2015-06-08 10:02:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
32,2015-06-08 10:03:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
33,2015-06-08 10:04:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
34,2015-06-08 10:05:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
35,2015-06-08 10:06:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
36,2015-06-08 10:07:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
37,2015-06-08 10:08:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
38,2015-06-08 10:09:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
39,2015-06-08 10:10:00,2015-06-08,1.1,0.0,0.0,904.0,1.1,1.1,1.1,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
40,2015-06-08 10:11:00,2015-06-08,1.14,34200.0,3.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
41,2015-06-08 10:12:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
42,2015-06-08 10:13:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
43,2015-06-08 10:14:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
44,2015-06-08 10:15:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
45,2015-06-08 10:16:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
46,2015-06-08 10:17:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
47,2015-06-08 10:18:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
48,2015-06-08 10:19:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
49,2015-06-08 10:20:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
50,2015-06-08 10:21:00,2015-06-08,1.14,0.0,0.0,904.0,1.14,1.14,1.14,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
