,datetime,trading_date,high,total_turnover,volume,open_interest,open,close,low,sid,de_listed_date,maturity_date,option_type,strike_price,listed_date
0,2015-06-29 09:31:00,2015-06-29,0.6890000000000001,13391.0,2.0,1020.0,0.6501,0.6890000000000001,0.6890000000000001,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
1,2015-06-29 09:32:00,2015-06-29,0.688,34400.0,5.0,1020.0,0.688,0.688,0.688,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
2,2015-06-29 09:33:00,2015-06-29,0.7028,42163.0,6.0,1020.0,0.7028,0.7027,0.7027,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
3,2015-06-29 09:34:00,2015-06-29,0.7027,0.0,0.0,1020.0,0.7027,0.7027,0.7027,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
4,2015-06-29 09:35:00,2015-06-29,0.7027,0.0,0.0,1020.0,0.7027,0.7027,0.7027,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
5,2015-06-29 09:36:00,2015-06-29,0.763,15013.0,2.0,1019.0,0.763,0.7383,0.7383,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
6,2015-06-29 09:37:00,2015-06-29,0.7383,0.0,0.0,1019.0,0.7383,0.7383,0.7383,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
7,2015-06-29 09:38:00,2015-06-29,0.7383,0.0,0.0,1019.0,0.7383,0.7383,0.7383,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
8,2015-06-29 09:39:00,2015-06-29,0.7383,0.0,0.0,1019.0,0.7383,0.7383,0.7383,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
9,2015-06-29 09:40:00,2015-06-29,0.6953,13905.0,2.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
10,2015-06-29 09:41:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
11,2015-06-29 09:42:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
12,2015-06-29 09:43:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
13,2015-06-29 09:44:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
14,2015-06-29 09:45:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
15,2015-06-29 09:46:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
16,2015-06-29 09:47:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
17,2015-06-29 09:48:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
18,2015-06-29 09:49:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
19,2015-06-29 09:50:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
20,2015-06-29 09:51:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
21,2015-06-29 09:52:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
22,2015-06-29 09:53:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
23,2015-06-29 09:54:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
24,2015-06-29 09:55:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
25,2015-06-29 09:56:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
26,2015-06-29 09:57:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
27,2015-06-29 09:58:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
28,2015-06-29 09:59:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
29,2015-06-29 10:00:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
30,2015-06-29 10:01:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
31,2015-06-29 10:02:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
32,2015-06-29 10:03:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
33,2015-06-29 10:04:00,2015-06-29,0.6953,0.0,0.0,1021.0,0.6953,0.6953,0.6953,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
34,2015-06-29 10:05:00,2015-06-29,0.6999,6999.0,1.0,1020.0,0.6999,0.6999,0.6999,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
35,2015-06-29 10:06:00,2015-06-29,0.7173,35865.0,5.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
36,2015-06-29 10:07:00,2015-06-29,0.7173,21519.0,3.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
37,2015-06-29 10:08:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
38,2015-06-29 10:09:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
39,2015-06-29 10:10:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
40,2015-06-29 10:11:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
41,2015-06-29 10:12:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
42,2015-06-29 10:13:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
43,2015-06-29 10:14:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
44,2015-06-29 10:15:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
45,2015-06-29 10:16:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
46,2015-06-29 10:17:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
47,2015-06-29 10:18:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
48,2015-06-29 10:19:00,2015-06-29,0.7173,0.0,0.0,1020.0,0.7173,0.7173,0.7173,10000031,2015-09-23,2015-09-23,C,2.2,2015-02-09
